epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.73315,1.73075,3.44903,2.03438,0.01023,0.97857,0.22249,0.11411,1.38243,3.19381,1.73841,8.75e-05,8.75e-05,8.75e-05
2,8.33277,1.43094,3.16962,1.63573,0.0105,0.97857,0.29876,0.16281,1.21268,3.18524,1.68707,0.000168938,0.000168938,0.000168938
3,9.64273,1.34793,2.97395,1.58628,0.01458,0.97143,0.35051,0.18003,1.26072,3.17213,1.60954,0.000230575,0.000230575,0.000230575
4,11.016,1.34419,2.87312,1.59201,0.01474,0.97143,0.36963,0.22565,1.06216,3.07452,1.50808,0.000272412,0.000272412,0.000272412
5,12.2951,1.32978,2.73214,1.53955,0.01475,0.97857,0.3498,0.19093,1.24917,3.09799,1.6403,0.00029445,0.00029445,0.00029445
6,13.587,1.27357,2.56537,1.48538,0.01438,0.97857,0.50211,0.28982,1.25044,3.0107,1.51843,0.000296688,0.000296688,0.000296688
7,14.8873,1.26666,2.39822,1.50621,0.01579,0.97857,0.49824,0.26295,1.29777,2.94783,1.57627,0.000279125,0.000279125,0.000279125
8,16.2297,1.25005,2.28622,1.49069,0.19049,0.97143,0.51338,0.2849,1.28085,2.76079,1.53719,0.000241763,0.000241763,0.000241763
9,17.5578,1.20404,2.20173,1.42951,0.75705,0.1996,0.54028,0.32223,1.17368,2.50475,1.46783,0.0001846,0.0001846,0.0001846
10,18.991,1.17133,2.12489,1.44012,0.65789,0.34744,0.56077,0.33932,1.19976,2.39078,1.5022,0.000107637,0.000107637,0.000107637
